Date,Confirmed,Recovered,Deaths,ActiveCases,CasesPerDay,Male,Female,Age0To19,Age20To29,Age30To39,Age40To49,Age50To59,Age60To69,Age70OrMore,TotalComfirmed,TotalRecovered,TotalDeaths
2020-03-01,4,0,0,4,4,2,2,1,1,2,0,0,0,0,4,0,0
2020-03-02,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0
2020-03-03,1,0,0,5,1,0,1,0,0,1,0,0,0,0,5,0,0
2020-03-04,3,0,1,7,3,3,0,0,1,1,0,0,1,0,8,1,1
2020-03-05,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8,1,1
2020-03-06,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8,1,1
2020-03-07,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8,1,1
2020-03-08,2,0,0,9,2,2,0,0,0,0,0,2,0,0,10,1,1
2020-03-09,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10,1,1
2020-03-10,1,1,0,9,1,0,1,1,0,0,0,0,0,0,11,1,1
2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1
2020-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1
2020-03-13,7,1,0,15,7,1,6,2,0,3,0,0,2,0,18,1,1
2020-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,1
2020-03-15,6,4,0,17,6,4,2,2,0,0,2,0,2,0,24,1,1
2020-03-16,3,4,0,16,3,1,2,1,1,0,1,0,0,0,27,1,1
2020-03-17,1,0,0,17,1,0,1,0,1,0,0,0,0,0,28,1,1
2020-03-18,1,0,0,18,1,0,1,1,0,0,0,0,0,0,29,1,1
2020-03-19,1,0,0,20,1,0,1,0,0,0,0,0,1,0,30,1,1
2020-03-20,6,4,0,21,6,4,2,0,2,0,3,0,0,1,36,1,1
2020-03-21,6,0,0,27,6,6,0,1,1,1,2,0,1,0,42,1,1
2020-03-22,10,5,0,32,10,5,5,3,1,3,1,0,2,0,52,1,1
2020-03-23,8,3,1,36,8,5,3,0,1,1,1,3,1,1,60,2,2
2020-03-24,6,5,0,37,6,1,5,2,0,1,2,1,0,0,66,2,2
2020-03-25,1,13,0,25,1,1,0,0,0,1,0,0,0,0,67,2,2
2020-03-26,1,0,0,26,1,0,1,0,0,0,0,1,0,0,68,2,2
2020-03-27,0,3,0,22,0,0,0,0,0,0,0,0,0,0,68,2,2
2020-03-28,1,6,0,17,1,0,1,0,0,0,0,0,0,1,69,2,2
2020-03-29,0,0,0,17,0,0,0,0,0,0,0,0,0,0,69,2,2
2020-03-30,19,0,0,36,19,10,9,3,6,4,2,3,1,0,88,2,2
2020-03-31,5,1,0,40,5,1,4,1,3,0,1,0,0,0,93,2,2
2020-04-01,15,0,0,55,15,9,6,3,8,1,0,3,0,0,108,2,2
2020-04-02,0,0,0,55,0,0,0,0,0,0,0,0,0,0,108,2,2
2020-04-03,1,0,0,56,1,1,0,0,0,0,1,0,0,0,109,2,2
2020-04-04,1,0,1,56,1,1,0,0,0,0,0,0,1,0,110,3,3
2020-04-05,3,0,0,59,3,0,3,0,3,0,0,0,0,0,113,3,3
2020-04-06,2,16,0,45,2,0,2,0,1,0,0,0,1,0,115,3,3
2020-04-07,1,17,0,29,1,0,1,1,0,0,0,0,0,0,116,3,3
2020-04-08,0,10,0,19,0,0,0,0,0,0,0,0,0,0,116,3,3
2020-04-09,4,0,0,23,4,1,3,1,2,0,1,0,0,0,120,3,3
2020-04-10,1,0,1,23,1,0,1,0,0,0,0,0,1,0,121,4,4
2020-04-11,4,1,0,26,4,1,3,1,1,2,0,0,0,0,125,4,4
2020-04-12,0,0,0,26,0,0,0,0,0,0,0,0,0,0,125,4,4
2020-04-13,2,5,0,23,2,2,0,1,0,0,0,0,1,0,127,4,4
2020-04-14,1,0,0,24,1,1,0,0,1,0,0,0,0,0,128,4,4
2020-04-15,1,0,0,25,1,1,0,0,1,0,0,0,0,0,129,4,4
2020-04-16,2,0,0,27,2,1,1,0,2,0,0,0,0,0,131,4,4
2020-04-17,0,10,0,17,0,0,0,0,0,0,0,0,0,0,131,4,4
2020-04-18,0,6,0,11,0,0,0,0,0,0,0,0,0,0,131,4,4
2020-04-19,0,2,0,9,0,0,0,0,0,0,0,0,0,0,131,4,4
2020-04-20,0,4,0,5,0,0,0,0,0,0,0,0,0,0,131,4,4
2020-04-21,0,0,0,5,0,0,0,0,0,0,0,0,0,0,131,4,4
2020-04-22,0,4,0,1,0,0,0,0,0,0,0,0,0,0,131,4,4
2020-04-23,1,0,0,2,1,1,0,0,0,1,0,0,0,0,132,4,4
2020-04-24,2,0,0,4,2,2,0,0,1,0,0,0,0,1,134,4,4
2020-04-25,0,0,0,4,0,0,0,0,0,0,0,0,0,0,134,4,4
2020-04-26,0,0,0,4,0,0,0,0,0,0,0,0,0,0,134,4,4
2020-04-27,3,0,0,7,3,0,3,2,1,0,0,0,0,0,137,4,4
2020-04-28,0,0,0,7,0,0,0,0,0,0,0,0,0,0,137,4,4
2020-04-29,1,0,0,8,1,1,0,0,0,1,0,0,0,0,138,4,4
2020-04-30,0,0,0,8,0,0,0,0,0,0,0,0,0,0,138,4,4
2020-05-01,0,0,0,8,0,0,0,0,0,0,0,0,0,0,138,4,4
2020-05-02,0,0,0,8,0,0,0,0,0,0,0,0,0,0,138,4,4
2020-05-03,0,7,0,1,0,0,0,0,0,0,0,0,0,0,138,4,4
2020-05-04,0,0,0,1,0,0,0,0,0,0,0,0,0,0,138,4,4
2020-05-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,138,4,4
2020-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,4,4
2020-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,4,4
2020-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,4,4
2020-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,4,4
2020-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,4,4
2020-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,4,4
2020-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,4,4
2020-05-13,1,0,0,1,1,1,0,0,0,0,0,1,0,0,139,4,4
2020-05-14,5,0,0,6,5,2,3,4,0,0,1,0,0,0,144,4,4
2020-05-15,0,0,0,6,0,0,0,0,0,0,0,0,0,0,144,4,4
2020-05-16,7,0,0,13,7,3,4,3,1,0,2,1,0,0,151,4,4
2020-05-17,9,0,0,22,9,6,3,2,3,0,2,2,0,0,160,4,4
